event_time_ms,open,high,low,close,volume,turnover
1722902400000,53988.2,56050.0,53917.3,56012.1,14267.039,789166815.9075
1722906000000,56012.1,56288.0,55402.5,55696.7,9518.38,531799642.2106
1722909600000,55696.7,56032.5,55589.3,55812.5,4334.186,241802867.6273
1722913200000,55812.5,55867.0,55440.0,55639.8,4052.296,225582592.4184
1722916800000,55639.8,55747.9,55221.1,55470.7,5625.673,312071261.7248
1722920400000,55470.7,55969.4,55227.5,55909.8,5364.221,298289164.6816
1722924000000,55909.8,56026.0,55504.7,55760.2,5465.876,304973528.9516
1722927600000,55760.2,56160.1,55431.1,55980.9,5823.177,325049121.5194
1722931200000,55980.9,56094.0,54581.1,54965.1,12752.382,703804179.6934
1722934800000,54965.1,55367.8,54584.0,55191.5,9961.821,547420110.9373
1722938400000,55191.5,55422.4,54851.9,55042.9,5616.256,309424385.5514
1722942000000,55042.9,55388.8,54837.1,55186.1,4679.702,257985161.9663
1722945600000,55186.1,55466.6,54648.4,54751.1,8012.035,441035830.4084
1722949200000,54751.1,55400.8,54324.7,55188.5,16370.359,898989974.7932
1722952800000,55188.5,56600.0,55113.8,56104.0,27584.534,1547212883.8578
1722956400000,56104.0,56417.6,55700.0,56396.1,10050.767,563476908.4219
1722960000000,56396.1,56888.0,56212.6,56750.8,12062.17,682284305.3105
1722963600000,56750.8,56936.2,56455.0,56471.3,7118.764,403690384.6497
1722967200000,56471.3,57056.1,56330.0,56704.1,7216.32,409542112.423
1722970800000,56704.1,56864.2,56285.2,56739.7,6163.982,348971623.901
1722974400000,56739.7,56834.2,56156.1,56515.3,6700.598,378477735.3736
1722978000000,56515.3,56611.0,56069.1,56429.1,4281.936,241173107.5858
1722981600000,56429.1,56926.8,55908.0,56171.9,9334.126,525658706.767
1722985200000,56171.9,56400.0,55682.0,55989.8,6140.235,344013975.5858
1722988800000,55989.8,56350.0,55518.4,56245.1,7444.691,416430864.3098
1722992400000,56245.1,57000.0,55755.0,56934.9,8652.559,488479934.4525
1722996000000,56934.9,57285.6,56436.4,56738.7,11836.45,673443944.0333
1722999600000,56738.7,56959.4,56550.0,56837.9,2911.921,165236782.7438
1723003200000,56837.9,57237.6,56720.0,57033.0,5985.513,341411301.7034
1723006800000,57033.0,57232.5,56675.0,56769.1,4678.875,266460121.1867
1723010400000,56769.1,56979.7,56663.4,56811.3,2752.459,156371644.5068
1723014000000,56811.3,57074.4,56510.0,56904.0,4277.398,242912465.0599
1723017600000,56904.0,57426.5,56839.9,57326.4,5962.063,340719150.202
1723021200000,57326.4,57700.0,57140.8,57329.4,8202.155,471096722.175
1723024800000,57329.4,57762.5,57221.9,57308.1,4764.297,273774437.7323
1723028400000,57308.1,57361.2,56843.5,56941.4,7088.929,404799845.128
1723032000000,56941.4,57340.0,56790.3,57272.9,6865.808,391849267.1105
1723035600000,57272.9,57467.8,56686.0,56810.5,9099.708,519219361.5232
1723039200000,56810.5,56974.0,55664.2,56054.0,18223.948,1025007349.3117
1723042800000,56054.0,56389.0,55757.6,56079.9,7885.744,441885943.8007
1723046400000,56079.9,56275.0,55804.3,56107.6,6734.203,377402583.1156
1723050000000,56107.6,56285.0,55401.0,55545.7,8678.74,483944344.5153
1723053600000,55545.7,55608.7,54637.0,54784.3,12405.981,682662167.7256
1723057200000,54784.3,55129.5,54650.7,54735.3,6731.132,369634937.8652
1723060800000,54735.3,55284.3,54604.5,55130.1,7843.274,430990115.8015
1723064400000,55130.1,55587.1,54840.0,55392.0,4463.067,246443039.609
1723068000000,55392.0,55446.0,54517.7,55260.9,7492.008,411896335.9025
1723071600000,55260.9,55416.8,54892.0,55109.5,3232.504,178308427.718
1723075200000,55109.5,55343.0,54705.0,55275.6,4715.578,259574117.6065
1723078800000,55275.6,57408.0,55237.6,56854.0,17910.888,1008420265.3999
1723082400000,56854.0,57620.6,56802.2,57337.3,10639.448,609494247.6725
1723086000000,57337.3,57674.8,57026.2,57031.2,6177.893,354596380.492
1723089600000,57031.2,57219.4,56660.0,56746.1,5686.917,323846561.175
1723093200000,56746.1,56997.0,56707.4,56934.4,3089.827,175785883.7746
1723096800000,56934.4,57339.9,56764.2,57195.1,3445.896,196633964.4787
1723100400000,57195.1,57405.9,57093.7,57176.0,4289.768,245617422.0952
1723104000000,57176.0,57375.3,57100.0,57214.7,2696.248,154318748.0087
1723107600000,57214.7,57501.2,56953.0,57317.1,4872.865,278959809.4637
1723111200000,57317.1,57549.1,57177.0,57360.0,4219.576,242060751.4446
1723114800000,57360.0,57665.0,57227.3,57295.1,4377.472,251400732.372
1723118400000,57295.1,58455.9,57078.6,57900.6,20511.313,1187075327.547
1723122000000,57900.6,58239.4,56622.0,57248.6,18643.107,1070330228.1695
1723125600000,57248.6,58979.0,57142.2,58886.1,20060.254,1166530264.4658
1723129200000,58886.1,59494.7,58602.0,59394.1,16922.723,999224292.7329
1723132800000,59394.1,59885.0,59312.4,59526.4,13787.181,821237495.9959
1723136400000,59526.4,59824.0,59232.0,59433.9,5850.933,348198293.6819
1723140000000,59433.9,59675.0,59290.8,59300.0,3065.279,182235967.4679
1723143600000,59300.0,59787.0,59181.0,59378.1,5345.307,318287072.1945
1723147200000,59378.1,59650.0,59255.7,59457.5,2876.703,171047676.8479
1723150800000,59457.5,61358.3,59457.5,61138.5,12387.21,748903993.17
1723154400000,61138.5,62537.9,60574.6,62305.5,18478.399,1135908681.2449
1723158000000,62305.5,62743.1,61605.8,61670.2,13265.718,824166345.5615
1723161600000,61670.2,61733.0,61022.6,61185.9,8141.85,500025811.1254
1723165200000,61185.9,61520.0,60745.3,61367.0,6075.278,371229473.2175
1723168800000,61367.0,61427.0,61108.4,61200.8,2426.265,148666001.7112
1723172400000,61200.8,61546.5,61140.0,61329.1,2386.906,146346975.4548
1723176000000,61329.1,61362.2,60675.9,60686.0,4335.861,264401362.946
1723179600000,60686.0,61000.0,60544.2,60955.2,3893.183,236836322.0357
1723183200000,60955.2,61081.6,60689.3,60862.6,3703.262,225574238.4311
1723186800000,60862.6,61230.8,60725.2,60844.0,3562.462,217219370.2344
1723190400000,60844.0,61085.3,60574.7,61065.5,4134.113,251471702.0779
1723194000000,61065.5,61187.5,60680.5,60736.0,3174.52,193385524.0851
1723197600000,60736.0,60820.0,60129.2,60573.3,8373.483,506225324.1162
1723201200000,60573.3,60769.2,60329.2,60632.1,3086.121,186951282.4152
1723204800000,60632.1,60782.2,60183.5,60518.2,3628.354,219477260.0668
1723208400000,60518.2,60729.5,59762.0,60423.3,11249.823,676655343.3939
1723212000000,60423.3,61111.1,59488.0,60307.5,21365.658,1288632321.6992
1723215600000,60307.5,60550.8,59753.2,59775.6,6497.923,390788664.8276
1723219200000,59775.6,60421.0,59680.0,60402.0,7050.73,423264750.5567
1723222800000,60402.0,60714.8,60126.0,60170.8,6120.632,369960929.7288
1723226400000,60170.8,60354.6,59811.3,60289.1,3939.47,236703444.3303
1723230000000,60289.1,60728.2,60088.6,60655.4,3431.345,207608490.003
1723233600000,60655.4,60970.6,60487.6,60718.5,4204.497,255248872.9345
1723237200000,60718.5,60858.1,59891.0,60717.7,8346.642,503267143.5876
1723240800000,60717.7,60974.1,60253.8,60735.4,6392.8,387504263.9992
1723244400000,60735.4,60929.9,60304.7,60814.9,3714.255,225302543.8436
1723248000000,60814.9,61459.9,60441.7,60518.2,8743.167,532707605.0447
1723251600000,60518.2,60968.6,60431.5,60441.9,2953.86,179315967.6141
1723255200000,60441.9,60707.6,60303.7,60519.0,1680.995,101730069.0831
1723258800000,60519.0,60519.1,60247.4,60424.7,1799.409,108648278.674
1723262400000,60424.7,60428.1,60223.0,60399.3,1349.096,81368458.1137
1723266000000,60399.3,60456.8,60301.5,60341.3,1039.454,62769917.6575
1723269600000,60341.3,60499.9,60312.3,60427.0,1037.119,62661331.4127
1723273200000,60427.0,60834.7,60427.0,60817.9,2475.253,150094040.4876
1723276800000,60817.9,60886.3,60582.2,60706.0,2215.207,134509534.0273
1723280400000,60706.0,61089.5,60704.5,60864.2,2913.916,177574594.4897
1723284000000,60864.2,60991.0,60601.2,60754.5,2150.246,130708346.8809
1723287600000,60754.5,60989.4,60721.5,60898.2,1149.969,70005471.3255
1723291200000,60898.2,60921.6,60685.0,60700.0,1112.016,67604920.281
1723294800000,60700.0,60724.2,60400.0,60414.9,3055.069,185003133.0517
1723298400000,60414.9,60648.7,60365.0,60565.1,1770.745,107163956.7086
1723302000000,60565.1,60728.7,60473.8,60490.0,1354.616,82128543.0769
1723305600000,60490.0,60693.9,60371.1,60651.0,2263.716,137033672.7892
1723309200000,60651.0,60843.2,60527.1,60746.0,1202.915,73013849.2625
1723312800000,60746.0,61237.1,60703.2,60932.8,4633.034,282563782.6796
1723316400000,60932.8,61120.0,60810.1,60997.9,1508.06,91960292.3557
1723320000000,60997.9,61079.6,60871.5,60965.3,1163.331,70928190.4095
1723323600000,60965.3,61148.6,60928.4,61053.6,1150.736,70256561.546
1723327200000,61053.6,61057.7,60856.2,60913.7,936.718,57085437.6162
1723330800000,60913.7,60917.4,60723.5,60893.7,949.076,57716197.9484
1723334400000,60893.7,61230.6,60859.7,61067.7,2394.397,146243738.3399
1723338000000,61067.7,61146.8,60917.6,61089.5,926.894,56581908.5449
1723341600000,61089.5,61107.3,60950.0,61006.9,655.161,39977528.3583
1723345200000,61006.9,61370.4,61000.3,61062.3,2388.709,146235746.2064
1723348800000,61062.3,61120.3,60843.9,60867.4,2284.89,139274230.017
1723352400000,60867.4,61123.8,60851.0,61088.1,849.099,51791277.8061
1723356000000,61088.1,61135.5,60967.6,61088.8,1311.208,80062977.6068
1723359600000,61088.8,61240.3,61055.4,61225.6,1454.036,88931929.8558
1723363200000,61225.6,61400.0,61123.8,61234.0,1999.86,122524439.1568
1723366800000,61234.0,61880.0,60975.7,61078.3,8579.749,526974306.6389
1723370400000,61078.3,61234.0,60910.0,61001.7,2682.659,163816057.9615
1723374000000,61001.7,61034.9,60388.0,60637.1,8097.013,490923502.8496
1723377600000,60637.1,60681.8,60178.9,60459.1,4538.192,274144902.8937
1723381200000,60459.1,60586.6,60134.3,60419.1,3753.557,226506386.3002
1723384800000,60419.1,60744.4,60151.6,60312.0,3554.566,214792950.8363
1723388400000,60312.0,60400.0,59908.3,60099.8,5529.911,332600441.3439
1723392000000,60099.8,60259.1,59945.1,60148.5,2276.47,136848177.0916
1723395600000,60148.5,60328.7,59989.2,60240.5,1833.467,110267006.2214
1723399200000,60240.5,60320.9,60079.1,60233.2,1186.456,71408258.2069
1723402800000,60233.2,60244.0,59508.8,59596.0,6394.032,381985153.2529
1723406400000,59596.0,59653.6,58264.0,58478.9,20426.254,1202297669.222
1723410000000,58478.9,59049.9,58288.6,58993.1,6491.286,380741089.6219
1723413600000,58993.1,59338.0,58507.1,58980.6,7433.095,437553254.2367
1723417200000,58980.6,59011.6,58685.7,58703.4,2972.953,174887883.2667
1723420800000,58703.4,59073.6,58024.1,58428.8,11001.052,642997921.1239
1723424400000,58428.8,58778.3,58252.9,58562.1,3893.199,227812150.7824
1723428000000,58562.1,58735.5,58300.0,58695.0,2724.76,159385609.7473
1723431600000,58695.0,58805.9,58409.7,58489.1,1892.537,110878173.8298
1723435200000,58489.1,58659.7,58340.0,58500.0,1854.818,108506739.5817
1723438800000,58500.0,58694.3,58373.8,58550.1,1917.42,112265601.7633
1723442400000,58550.1,58620.1,58091.9,58381.7,3206.188,187038308.0422
1723446000000,58381.7,58998.9,57555.0,58657.6,16716.243,973965199.6268
1723449600000,58657.6,59038.9,58210.0,58292.8,6648.64,390071682.3361
1723453200000,58292.8,58616.8,58135.0,58272.5,5361.148,312702933.5081
1723456800000,58272.5,58976.3,58077.5,58947.6,6467.068,378846271.9803
1723460400000,58947.6,59938.0,58860.0,59812.4,13996.813,832447161.2739
1723464000000,59812.4,59940.0,59486.3,59700.2,6799.179,405756881.5603
1723467600000,59700.2,59843.0,57930.3,58128.0,18352.662,1078348201.3424
1723471200000,58128.0,60691.5,57736.0,60272.2,32118.498,1909467966.1175
1723474800000,60272.2,60486.1,59217.3,60179.8,17450.704,1043292049.8846
1723478400000,60179.8,60396.1,59508.9,59583.4,9224.904,552554245.1381
1723482000000,59583.4,59899.8,59179.0,59269.0,4957.925,295116833.1032
1723485600000,59269.0,59522.1,58396.2,58495.9,8412.482,496379778.0584
1723489200000,58495.9,59264.0,58495.9,59015.6,6574.711,387659650.2397
1723492800000,59015.6,59365.7,58707.8,58823.6,4767.33,281626825.6341
1723496400000,58823.6,59212.8,58516.5,58943.0,5270.347,310079711.2862
1723500000000,58943.0,59229.9,58809.2,59021.2,2486.354,146760504.1513
1723503600000,59021.2,59749.3,58988.5,59316.1,5551.88,329747333.5808
1723507200000,59316.1,59867.2,59235.7,59768.0,5533.681,329601610.0215
1723510800000,59768.0,59902.3,59441.7,59721.8,2840.556,169470828.3675
1723514400000,59721.8,59764.3,59270.0,59461.8,3208.897,190850510.9962
1723518000000,59461.8,59508.0,58850.0,59026.1,5659.649,334786288.4091
1723521600000,59026.1,59240.0,58815.6,59203.8,2266.628,133802678.7236
1723525200000,59203.8,59349.7,59082.3,59195.2,1697.424,100490949.6309
1723528800000,59195.2,59465.5,58946.8,59345.1,3243.342,192170417.5928
1723532400000,59345.1,59439.1,59029.0,59218.7,3291.071,195008103.6048
1723536000000,59218.7,59302.0,58883.3,59067.9,3133.066,185026422.4974
1723539600000,59067.9,59072.1,58666.5,58925.8,4166.48,245241543.8644
1723543200000,58925.8,58950.0,58380.0,58630.1,5534.778,324465877.8198
1723546800000,58630.1,58878.1,58530.0,58797.4,2429.953,142684873.6019
1723550400000,58797.4,59178.5,58663.8,59089.9,7918.521,466691932.2966
1723554000000,59089.9,59415.0,58807.4,59373.1,7844.41,463790906.0808
1723557600000,59373.1,59740.0,58981.6,59617.9,11596.638,689165578.5103
1723561200000,59617.9,59708.6,59323.5,59449.4,4292.341,255371521.6194
1723564800000,59449.4,61194.5,59426.5,61130.0,20437.761,1235441507.5636
1723568400000,61130.0,61576.7,60864.7,61132.5,15543.538,951571693.2268
1723572000000,61132.5,61180.0,60721.0,60766.3,6040.801,368131262.7161
1723575600000,60766.3,60947.5,60208.2,60785.6,8792.509,533001344.4662
1723579200000,60785.6,60945.9,60528.3,60531.9,2802.035,170105977.8014
1723582800000,60531.9,61125.0,60466.7,60996.5,2862.169,174124576.3488
1723586400000,60996.5,61023.8,60422.0,60556.0,3586.155,217455181.5446
1723590000000,60556.0,60594.9,60357.4,60558.8,1987.73,120222304.2472
1723593600000,60558.8,60832.5,60400.0,60759.9,2527.947,153261488.3401
1723597200000,60759.9,60800.0,60494.5,60500.0,2194.324,133022356.1523
1723600800000,60500.0,60814.8,60469.0,60773.7,1739.33,105523619.7467
1723604400000,60773.7,61282.0,60773.6,60920.7,3397.018,207335174.1118
1723608000000,60920.7,61132.7,60861.0,60909.1,1956.076,119286961.9869
1723611600000,60909.1,61055.5,60753.6,60797.3,1709.591,104077667.4351
1723615200000,60797.3,60892.0,60611.7,60834.3,2992.672,181764852.3316
1723618800000,60834.3,60918.1,60670.1,60884.4,1491.077,90656862.7497
1723622400000,60884.4,60900.0,60587.2,60861.0,2366.636,143822460.1022
1723626000000,60861.0,60944.4,60770.2,60824.5,1314.029,79952439.8137
1723629600000,60824.5,61299.0,60811.0,61060.3,4775.13,291849986.7761
1723633200000,61060.3,61454.8,60850.0,61255.6,4775.421,292000157.7907
1723636800000,61255.6,61950.3,60758.9,61039.8,18760.036,1149423218.9222
1723640400000,61039.8,61147.2,59441.2,59586.0,20377.932,1226997451.4892
1723644000000,59586.0,59594.5,58769.0,59474.9,22302.259,1321207123.2592
1723647600000,59474.9,59817.7,58841.9,59398.7,18366.886,1090151323.7708
1723651200000,59398.7,59425.9,58519.9,59100.5,11038.996,651768487.1364
1723654800000,59100.5,59360.4,59000.2,59131.2,5095.693,301489334.5097
1723658400000,59131.2,59446.0,58758.6,58962.0,4546.855,268630931.6928
1723662000000,58962.0,59102.1,58700.0,58868.2,3768.506,221903451.2729
1723665600000,58868.2,59180.7,58859.6,59130.4,2839.383,167674058.4095
1723669200000,59130.4,59138.9,58843.4,58891.3,1485.25,87596985.0886
1723672800000,58891.3,58984.9,58399.1,58955.9,5359.429,314538990.5324
1723676400000,58955.9,59000.0,58631.4,58647.7,1790.151,105300946.6884
1723680000000,58647.7,59003.8,58642.0,58957.1,2103.761,123804032.5648
1723683600000,58957.1,59057.3,58103.2,58165.3,5905.701,345720455.7317
1723687200000,58165.3,58538.3,57905.3,58389.3,8129.014,473651504.7587
1723690800000,58389.3,58475.4,58322.7,58412.8,1035.635,60485609.8358
1723694400000,58412.8,58449.7,58133.3,58361.0,2494.301,145395196.9964
1723698000000,58361.0,58612.0,58156.1,58296.0,3017.741,176264502.8178
1723701600000,58296.0,58372.7,57787.6,58079.4,6106.763,354606126.7242
1723705200000,58079.4,58132.3,57690.0,58031.7,5099.968,295374423.3383
1723708800000,58031.7,58356.5,57936.2,58341.5,3625.097,210913184.4329
1723712400000,58341.5,58542.9,58267.1,58380.1,3249.944,189773163.3864
1723716000000,58380.1,58531.5,58271.2,58332.3,2527.352,147558169.994
1723719600000,58332.3,58881.6,58330.0,58726.5,5865.593,344063841.6253
1723723200000,58726.5,59403.8,58579.6,58768.9,15181.672,895802508.3468
1723726800000,58768.9,59457.0,58446.5,59434.7,11848.515,700209973.5738
1723730400000,59434.7,59746.9,59168.0,59405.5,10570.619,628631502.4747
1723734000000,59405.5,59749.9,59255.6,59655.8,5961.217,354895757.6265
1723737600000,59655.8,59833.7,59405.1,59511.9,5714.663,340818754.7039
1723741200000,59511.9,59524.8,58721.0,58844.1,7582.9,448873430.8198
1723744800000,58844.1,58847.2,57500.0,57834.5,22822.802,1323829337.5281
1723748400000,57834.5,57930.6,56612.2,57026.0,23239.846,1327335979.2028
1723752000000,57026.0,57114.8,56052.1,56635.6,13633.882,771798378.175
1723755600000,56635.6,57620.0,56569.8,57607.8,10228.458,583250414.5607
1723759200000,57607.8,57859.5,57355.2,57595.2,6150.96,354307506.8272
1723762800000,57595.2,57798.1,57455.5,57515.9,2958.779,170475028.3399
1723766400000,57515.9,57650.0,57330.0,57452.9,3244.484,186441228.0909
1723770000000,57452.9,57611.9,57071.7,57522.1,4276.464,245033187.6953
1723773600000,57522.1,58544.6,57310.0,58180.0,8550.87,495995406.4587
1723777200000,58180.0,58196.7,57723.2,57871.1,3851.677,223305378.8353
1723780800000,57871.1,58303.2,57747.8,58284.3,3220.572,186826487.2941
1723784400000,58284.3,58316.9,58073.8,58163.6,2101.804,122324851.1539
1723788000000,58163.6,58620.0,58026.0,58500.4,4630.193,270335252.4964
1723791600000,58500.4,58534.4,58301.7,58432.8,2465.294,144021273.0502
1723795200000,58432.8,58582.0,58300.3,58340.6,2466.282,144130033.1347
1723798800000,58340.6,58669.5,58226.0,58650.4,3867.24,226087761.5927
1723802400000,58650.4,58650.4,58260.8,58406.9,3034.776,177221685.0125
1723806000000,58406.9,58595.4,58104.2,58375.2,4461.425,260400429.4524
1723809600000,58375.2,58485.9,57472.7,57841.6,12275.891,710538307.1898
1723813200000,57841.6,58894.0,57717.2,58320.9,18171.935,1060342460.1715
1723816800000,58320.9,58480.0,57818.3,57989.4,7379.018,428864241.1162
1723820400000,57989.4,58193.4,57601.2,58034.5,5919.153,342671619.8928
1723824000000,58034.5,58700.0,57962.7,58530.8,7687.454,448959347.4726
1723827600000,58530.8,59347.2,58357.3,59197.2,9193.596,540922583.2723
1723831200000,59197.2,59536.7,59046.8,59436.5,7934.759,470630278.7026
1723834800000,59436.5,59800.1,59380.0,59653.9,7939.834,473447055.9569
1723838400000,59653.9,59688.4,59159.7,59229.2,4977.761,295668527.2857
1723842000000,59229.2,59305.9,58920.1,58998.4,3028.65,178981099.8105
1723845600000,58998.4,59160.0,58940.0,58940.0,1691.768,99925643.6634
1723849200000,58940.0,59034.0,58671.2,58850.0,3983.811,234565708.0031
1723852800000,58850.0,59228.5,58765.0,59150.0,2872.49,169417376.766
1723856400000,59150.0,59370.3,59081.4,59215.0,2325.149,137679617.5247
1723860000000,59215.0,59324.0,59066.9,59124.1,1619.471,95859947.9051
1723863600000,59124.1,59156.9,58960.3,59127.3,1757.42,103761519.0318
1723867200000,59127.3,59240.0,59045.0,59187.0,1394.545,82502883.2647
1723870800000,59187.0,59226.1,59118.8,59140.4,807.886,47801762.5964
1723874400000,59140.4,59215.8,59125.2,59141.1,686.412,40604624.1517
1723878000000,59141.1,59237.3,59017.7,59223.7,1381.42,81678642.0198
1723881600000,59223.7,59270.0,59134.2,59257.9,1014.774,60080966.369
1723885200000,59257.9,59458.0,59184.0,59295.6,2206.915,130916303.1285
1723888800000,59295.6,59320.0,59050.0,59085.9,2083.569,123262369.6004
1723892400000,59085.9,59206.0,59034.9,59106.3,1852.625,109502448.7405
1723896000000,59106.3,59250.5,59068.0,59206.0,1158.929,68579487.8843
1723899600000,59206.0,59430.8,59160.0,59308.0,2927.244,173597888.1587
1723903200000,59308.0,59568.8,59225.1,59508.3,2465.213,146409221.8916
1723906800000,59508.3,59666.0,59340.0,59369.4,2681.062,159447699.8546
1723910400000,59369.4,59698.8,59369.3,59585.0,1816.441,108138349.6152
1723914000000,59585.0,59656.7,59386.5,59403.5,1802.5,107302994.3111
1723917600000,59403.5,59454.7,59222.5,59391.3,1691.429,100380615.0972
1723921200000,59391.3,59520.0,59359.1,59447.5,679.454,40390277.008
1723924800000,59447.5,59476.3,59283.2,59370.3,732.285,43483605.1445
1723928400000,59370.3,59415.9,59101.2,59287.3,1465.908,86825121.7192
1723932000000,59287.3,59322.8,59219.9,59289.9,573.228,33976259.2927
1723935600000,59289.9,59475.1,59272.6,59475.1,1026.739,60973809.0055
1723939200000,59475.1,59731.1,59391.8,59650.3,2724.911,162415619.5002
1723942800000,59650.3,59674.7,59377.5,59418.8,1389.727,82725917.5411
1723946400000,59418.8,60288.5,59368.6,60112.0,7668.074,459395494.7671
1723950000000,60112.0,60251.6,59262.0,59306.7,5884.621,351537609.1263
1723953600000,59306.7,59467.7,59222.0,59429.2,2227.226,132213355.0469
1723957200000,59429.2,59666.0,59374.0,59455.8,2317.499,137919972.1402
1723960800000,59455.8,59600.1,59444.3,59567.4,809.827,48217802.4942
1723964400000,59567.4,59625.3,59478.9,59549.7,856.978,51039012.1235
1723968000000,59549.7,59695.9,59402.7,59672.9,1842.53,109716702.7859
1723971600000,59672.9,60107.3,59620.0,59853.3,3861.558,231024890.819
1723975200000,59853.3,60174.9,59782.1,59840.7,4150.721,249028867.5728
1723978800000,59840.7,60003.2,59707.7,59987.8,2453.787,146880464.418
1723982400000,59987.8,60249.8,59847.9,59949.8,2771.542,166425281.081
1723986000000,59949.8,60200.0,59777.0,59798.0,2515.686,150951175.499
1723989600000,59798.0,59950.0,59633.0,59782.0,2803.929,167690967.831
1723993200000,59782.0,59900.3,59666.6,59830.0,1431.325,85594324.245
1723996800000,59830.0,59921.3,59746.2,59810.9,1306.208,78167825.4844
1724000400000,59810.9,59835.1,59324.7,59514.8,4205.202,250321442.2357
1724004000000,59514.8,59617.2,59433.7,59568.9,1147.878,68326158.9904
1724007600000,59568.9,59736.8,59475.8,59684.9,1408.012,83979588.9468
1724011200000,59684.9,59844.0,59650.7,59792.0,1346.827,80469701.8372
1724014800000,59792.0,59792.0,59230.0,59410.5,2769.334,164853285.6152
1724018400000,59410.5,59559.1,59312.8,59317.9,1601.611,95180220.8681
1724022000000,59317.9,59382.1,58400.0,58406.4,12251.243,720645373.8412
1724025600000,58406.4,58693.2,58140.7,58320.2,10032.208,585917109.6469
1724029200000,58320.2,58591.0,58180.0,58525.0,3539.303,206676243.0258
1724032800000,58525.0,58720.5,58384.0,58628.3,2153.217,126120081.68
1724036400000,58628.3,58740.0,58525.0,58703.2,2025.411,118777091.4735
1724040000000,58703.2,58720.0,58430.0,58555.5,1961.087,114848226.7133
1724043600000,58555.5,58590.1,58322.2,58456.2,2486.937,145374453.6415
1724047200000,58456.2,58636.0,58350.4,58543.2,2020.771,118200577.1817
1724050800000,58543.2,58724.0,58462.1,58469.1,2379.58,139432462.1171
1724054400000,58469.1,58629.7,58392.9,58572.3,2120.441,124106807.3081
1724058000000,58572.3,58636.8,57925.6,57984.9,7154.413,416204641.1639
1724061600000,57984.9,58200.0,57753.1,58010.0,7845.374,455057261.4839
1724065200000,58010.0,58482.9,57950.0,58358.1,4188.07,243650104.3934
1724068800000,58358.1,58490.2,58217.2,58381.9,3212.185,187512176.7269
